provincia	departamen	Blanco	LLA	NULO	OTRO	UxP	total	total.valido
santa cruz	lago buenos aires	53	3737	171	2	2891	6854	6628
santa cruz	magallanes	77	4349	220	0	2205	6851	6554
santa cruz	rio chico	26	1483	76	1	1073	2659	2556
santa fe	9 de julio	142	12273	206	1	6272	18894	18545
santa fe	belgrano	596	21026	461	0	8266	30349	29292
santa fe	caseros	1236	37483	1218	24	15398	55359	52881
santa fe	castellanos	1737	81645	2184	13	29457	115036	111102
santa fe	constitucion	1111	34436	1370	8	22835	59760	57271
santa fe	garay	128	8566	224	0	5291	14209	13857
santa fe	general lopez	2337	85463	2313	9	35451	125573	120914
santa fe	general obligado	1015	70208	1570	78	42864	115735	113072
santa fe	iriondo	968	29331	956	0	14546	45801	43877
santa fe	la capital	5508	197934	7617	143	126820	338022	324754
santa fe	las colonias	1118	52798	1340	9	15669	70934	68467
santa fe	rosario	13483	434442	19249	204	317557	784935	751999
santa fe	san cristobal	535	27775	742	2	13716	42770	41491
santa fe	san javier	208	10645	411	8	8234	19506	18879
santa fe	san jeronimo	843	32776	1001	6	17852	52478	50628
santa fe	san justo	313	18809	561	3	8257	27943	27066
santa fe	san lorenzo	1800	75457	2711	31	42894	122893	118351
santa fe	san martin	676	30077	980	5	10800	42538	40877
santa fe	vera	326	17099	413	7	14209	32054	31308
santiago del estero	aguirre	45	2082	66	0	3433	5626	5515
santiago del estero	alberdi	55	2383	33	5	8468	10944	10851
